Title,Author,ISBN#,ISBN13,Date Started,Date Finished,Read?,Favorite?,
Hiroshima Diary,Michihiko Hachiya,,,,,,,
Histories,Herodotus,,,,,,,
History,Elsa Morante ,,,,,,,
History of My Life,Giacomo Casanova,,,,,,,
History of the Conquest of Mexico,William H. Prescott,,,,,,,
History of the Peloponnesian War,Thucydides,,,,,,,
Holmes-Laski Letters,Oliver Wendell Holmes Jr.,,,,,,,
Holy Land,D. J. Waldie,,,,,,,
Homage to Catalonia,George Orwell,,,,,,,
Home,Witold Rybczynski,,,,,,,
Hons and Rebels,Jessica Mitford,,,,,,,
Hope Against Hope,Nadezhda Mandelstam,,,,,,,
Hopscotch,Julio Cortázar,,,,,,,
House Made of Dawn,N. Scott Momaday,,,,,,,
How Buildings Learn,Stewart Brand,,,,,,,
How Proust Can Change Your Life,Alain de Botton,,,,,,,
How to Be an Inclusive Leader,Jennifer Brown,,,,,,,
How to Change Your Mind,Michael Pollan,,,,,,,
How to Make Millions with Your Ideas,Dan S. Kennedy,,,,,,,
How to Make People do What you Want,James W. Williams,,,,,,,
How to Make People Laugh,James W. Williams,,,,,,,
How to Make People Like You,James W. Williams,,,,,,,
How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,,,,,,,
How to Read People Like a Book,James W. Williams,,,,,,,
How to Stop Worrying and Start Living,Dale Carnegie,,,,,,,
How to Tell When You’re Tired,Reg Theriault,,,,,,,
Howl and Other Poems,Allen Ginsberg,,,,,,,
HR on Purpose,Steve Browne,,,,,,,
Human Compatible,Stuart Russell,,,,,,,
Human Errors,Nathan H. Lents,,,,,,,
Hunger,Knut Hamsun,,,,,,,
Hunger of Memory,Richard Rodriguez,,,,,,,
Huolongjing,Liu Bowen,,,,,,,
I and Thou,Martin Buber,,,,,,,
I Capture the Castle,Dodie Smith,,,,,,,
I Hear You,Michael S. Sorensen,,,,,,,
I Know Why the Caged Bird Sings,Maya Angelou,,,,,,,
I Thought It was Just Me,Brené Brown,,,,,,,
I Was a Stranger,Sir John Winthrop Hackett,,,,,,,
I Will Teach You to Be Rich,Ramit Sethi,,,,,,,
If on a Winter's Night a Traveler,Italo Calvino,,,,,,,
If This Is a Man,Primo Levi,,,,,,,
Ill Met by Moonlight,W. Stanley Moss,,,,,,,
Illuminations,Arthur Rimbaud,,,,,,,
In Cold Blood,Truman Capote,,,,,,,
In Front of Your Nose,George Orwell,,,,,,,
In Our Time,Ernest Hemingway,,,,,,,
In Search of Lost Time,Marcel Proust,,,,,,,
In the Freud Archives,Janet Malcolm,,,,,,,
In the Vineyard of the Text,Ivan Illich,,,,,,,
In Xanadu,William Dalrymple ,,,,,,,
Independence Day,Richard Ford,,,,,,,
Independent People,Halldór Laxness,,,,,,,
Independent Spirit,Hubert Butler,,,,,,,
Infanterie Greift An,Erwin Rommel,,,,,,,
Inferno,Dante Alighieri,,,,,,,
Inferno Squad,Christie Golden,,,,,,,
Infinite Jest,David Foster Wallace,,,,,,,
Influence,Robert B. Cialdini,,,,,,,
Instead of a Letter,Diana Athill,,,,,,,
Interpreter of Maladies,Jhumpa Lahiri,,,,,,,
Interview with the Vampire,Anne Rice,,,,,,,
Into the Heart of Borneo,Redmond O’Hanlon,,,,,,,
Into Thin Air,Jon Krakauer,,,,,,,
Invisible Cities,Italo Calvino,,,,,,,
Invisible Man,Ralph Ellison,,,,,,,
Invitation to a Beheading,Vladimir Nabokov,,,,,,,
Ishmael,Daniel Quinn,,,,,,,
Israel and the Dead Sea Scrolls,Edmund Wilson,,,,,,,
It’s the Manager,Jim Clifton,,,,,,,
Italian Journey,Johann Wolfgang Von Goethe,,,,,,,
Jane Eyre,Charlotte Brontë,,,,,,,
Japanese Inn,Oliver Statler,,,,,,,
Jerusalem,Alan Moore,,,,,,,
Johnny Tremain,Esther Forbes,,,,,,,
Journey to the End of the Night,Louis-Ferdinand Céline,,,,,,,
JR,William Gaddis,,,,,,,
Jude the Obscure,Thomas Hardy,,,,,,,
Judgment Night,C. L. Moore,,,,,,,
Julius Caesar,William Shakespeare,,,,,,,
Just for Fun,Linus Torvalds,,,,,,,
Just So Stories for Little Children,Rudyard Kipling,,,,,,,
Justine,Lawrence Durrell,,,,,,,
Kaddish,Leon Wieseltier,,,,,,,
Kafka on the Shore,Haruki Murakami,,,,,,,
Kaputt,Curzio Malaparte,,,,,,,
Kidnapped,Robert Louis Stevenson,,,,,,,
Kilvert’s Diary,Francis Kilvert,,,,,,,
King Lear,William Shakespeare,,,,,,,
King Lear,William Shakespeare,,,,,,,
Kiss the Girls,James Patterson,,,,,,,
Kokoro,Natsume Sōseki,,,,,,,
Kon-Tiki,Thor Heyerdahl,,,,,,,
Kornél Esti,Dezső Kosztolányi,,,,,,,
Kristin Lavransdatter,Sigrid Undset,,,,,,,
Kybalion,Three Initiates,,,,,,,
LaBrava,Elmore Leonard,,,,,,,
Landscape and Memory,Simon Schama,,,,,,,
Lark Rise to Candleford,Flora Thompson,,,,,,,
Laughing in the Hills,Bill Barich,,,,,,,
Leadership and Training for the Fight,Paul R. Howe,,,,,,,
Leadership Strategy and Tactics,Jocko Willink,,,,,,,
Lean Mastery Collection,Michael S. Lean,,,,,,,
Lean Mastery Collection,Jeffrey Ries,,,,,,,
Learn To Think Using Thought Experiments,Patrick King,,,,,,,
Leaves of Grass,Walt Whitman,,,,,,,
Leia: Princess of Alderaan,Claudia Gray,,,,,,,
Lenin’s Tomb,David Remnick,,,,,,,
Leo Africanus,Amin Maalouf,,,,,,,
Les Misérables,Victor Hugo,,,,,,,
Less is More,Goldian VandenBroeck,,,,,,,
Let Us Now Praise Famous Men,James Agee,,,,,,,
Letters from the Earth,Mark Twain,,,,,,,
Letters of a Woman Homesteader,Elinore Pruitt Stewart,,,,,,,
Letters of John Keats,John Keats,,,,,,,
Letters of Pliny the Younger,Pliny the Younger,,,,,,,
Liar’s Poker,Michael Lewis,,,,,,,
Life,Georges Perec,,,,,,,
Life & Times of Michael K,J. M. Coetzee,,,,,,,
Life 3.0,Max  Tegmark,,,,,,,
Life Among the Savages,Shirley Jackson,,,,,,,
Life and Fate,Vasily Grossman,,,,,,,
Life in Code,Ellen Ullman,,,,,,,
Life of Pi,Yann Martel,,,,,,,
Light in August,William Faulkner,,,,,,,
Light Years,James Salter,,,,,,,
Lincoln at Gettysburg,Garry Wills,,,,,,,
Little Bear,Else Holmelund Minarik,,,,,,,
Little Fur Family,Margaret Wise Brown,,,,,,,
Little House in the Big Woods,Laura Ingalls Wilder,,,,,,,
Little Women,Louisa May Alcott,,,,,,,
"Little, Big",John Crowley,,,,,,,
"Lives of the Most Excellent Painters, Sculptors, and Architects",Giorgio Vasari,,,,,,,
Lonesome Dove,Larry McMurtry,,,,,,,
Long Day’s Journey into Night,Eugene O’Neill,,,,,,,
Long Story Short,Margot Leitman,,,,,,,
Longitude,Dava Sobel,,,,,,,
"Look Homeward, Angel",Thomas Wolfe,,,,,,,
"lost boy, lost girl",Peter Straub,,,,,,,
Lost Illusions,Honoré De Balzac,,,,,,,
Lost in Place,Mark Salzman,,,,,,,
"Love, Loss, and What I Wore",Ilene Beckerman,,,,,,,
Lucky Jim,Kingsley Amis,,,,,,,
Macbeth,William Shakespeare,,,,,,,
Madame Bovary,Gustave Flaubert,,,,,,,
Madeline,Ludwig Bemelmans,,,,,,,
Maigret and the Man on the Bench,Georges Simenon,,,,,,,
Main Street,Sinclair Lewis,,,,,,,
Make Way for Ducklings,Robert McCloskey,,,,,,,
Making Work Visible,Dominica Degrandis,,,,,,,
Man and His Symbols,C.G. Jung,,,,,,,
Man Meets Dog,Konrad Lorenz,,,,,,,
Man Up!,Paul O’Donnell,,,,,,,
Man's Search for Meaning,Viktor E. Frankl,,,,,,,
Mansfield Park,Jane Austen,,,,,,,
Manufacturing Consent,Edward S. Herman,,,,,,,
Map: Collected and Last Poems,Wisława Szymborska,,,,,,,
Mason & Dixon,Thomas Pynchon,,,,,,,
Master and Commander,Patrick O’Brian,,,,,,,
Master of the Senate,Robert A. Caro,,,,,,,
Mastery,Robert Greene,,,,,,,
Matilda,Roald Dahl,,,,,,,
Means of Ascent,Robert A. Caro,,,,,,,
Medea,Euripides,,,,,,,
Medieval in LA,Jim Paul,,,,,,,
Meditations,Marcus Aurelius,,,,,,,
Meditations on First Philosophy,René Descartes,,,,,,,
Melbourne,David Cecil,,,,,,,
Melmed,,,,,,,,
Memento Mori,Muriel Spark,,,,,,,
Memoirs,Duc de Saint-Simon,,,,,,,
Memoirs of a Dutiful Daughter,Simone De Beauvoir,,,,,,,
Memoirs of a Medieval Woman,Louise Collis,,,,,,,
Memoirs of Hadrian,Marguerite Yourcenar,,,,,,,
Memoirs of Lorenzo Da Ponte,Lorenzo Da Ponte,,,,,,,
Memorial,Ferdinando Camon,,,,,,,
Memories of the Great and the Good,Alistair Cooke,,,,,,,
"Memories, Dreams, Reflections",C. G. Jung,,,,,,,
Merry Hall,Beverley Nichols,,,,,,,
Metamorphoses,Ovid,,,,,,,
Microbe Hunters,Paul de Kruif,,,,,,,
Middlemarch,George Eliot,,,,,,,
Midnight in Sicily,Peter Robb,,,,,,,
Midnight in the Garden of Good and Evil,John Berendt,,,,,,,
Midnight’s Children,Salman Rushdie,,,,,,,
"Moby-Dick or, the Whale",Herman Melville,,,,,,,
Molloy,Samuel Beckett,,,,,,,
"Molloy, Malone Dies, The Unnamable (The Trilogy, #1-3)",Samuel Beckett,,,,,,,
Morgan: American Financier,Jean Strouse,,,,,,,
Most of the Most of S. J. Perelman,S. J. Perelman,,,,,,,
Mountolive,Lawrence Durrell,,,,,,,
Movie Speak,Tony Bill,,,,,,,
Mr. Blandings Builds His Dream House,Eric Hodgins,,,,,,,
Mrs. Adams in Winter,Michael O’Brien,,,,,,,
Mrs. Dalloway,Virginia Woolf,,,,,,,
Mumbo Jumbo,Ishmael Reed,,,,,,,
Mutiny on the Bounty,Charles Nordhoff and James Norman Hall,,,,,,,
My Brilliant Career,Miles Franklin,,,,,,,
My Brilliant Friend,Elena Ferrante,,,,,,,
My Country Right or Left,George Orwell,,,,,,,
My Dog Tulip,J. R. Ackerley,,,,,,,
My Family and Other Animals,Gerald Durrell,,,,,,,
My Father’s Fortune,Michael Frayn,,,,,,,
My Father’s Glory,Marcel Pagnol,,,,,,,
My First Summer in the Sierra,John Muir,,,,,,,
My Mother’s Castle,Marcel Pagnol,,,,,,,
My Past and Thoughts,Alexander Herzen,,,,,,,
Mystery Train,Greil Marcus,,,,,,,
Naked Lunch,William S. Burroughs,,,,,,,
Narconomics: How to Run a Drug Cartel,Tom Wainwright,,,,,,,
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,,,,,,,
Native Son,Richard Wright,,,,,,,
Naturalist,Edward O. Wilson,,,,,,,
Nausea,Jean-Paul Sartre,,,,,,,
Navigator of the Flood,Mario Brelich,,,,,,,
Nelson Mandela,Martin Meredith,,,,,,,
Neuromancer,William Gibson,,,,,,,
Never Split the Difference,Chris Voss,,,,,,,
New Power,Jeremy Heimans,,,,,,,
New Sales. Simplified,Mike Weinberg,,,,,,,
Nicholas and Alexandra,Robert K. Massie,,,,,,,
Nicomachean Ethics,Aristotle,,,,,,,
Night,Elie Wiesel,,,,,,,
No Exit,Jean-Paul Sartre,,,,,,,
No Longer Human,Osamu Dazai,,,,,,,
No Picnic on Mount Kenya,Felice Benuzzi,,,,,,,
"No, They Can't",John Stossel,,,,,,,
Nomad,Emma Reddington,,,,,,,
Northanger Abbey,Jane Austen,,,,,,,
Notes from Underground,Fyodor Dostoyevsky,,,,,,,
Nova,Samuel R. Delany,,,,,,,
O Pioneers!,Willa Cather,,,,,,,
Oblomov,Ivan Goncharov,,,,,,,
Occidental Mythology,Joseph Campbell,,,,,,,
Oedipus at Colonus,Sophocles,,,,,,,
Oedipus the King,Sophocles,,,,,,,
Of Mice and Men,John Steinbeck,,,,,,,
Offshore,Penelope Fitzgerald,,,,,,,
Old Glory,Jonathan Raban,,,,,,,
Old Herbaceous,Reginald Arkell,,,,,,,
Old House of Fear,Russell Kirk,,,,,,,
Oliver Twist,Charles Dickens,,,,,,,
On Growth and Form,D’Arcy Wentworth Thompson,,,,,,,
On Protracted War,Mao Zedong,,,,,,,
On the Road,Jack Kerouac,,,,,,,
On the Shoulders of Giants,Robert K. Merton,,,,,,,
On War,Carl von Clausewitz ,,,,,,,
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,,,,,,,
One Decision,Mike Bayer,,,,,,,
One Flew Over the Cuckoo's Nest,Ken Kesey,,,,,,,
One Hundred Views of Mt. Fuji,Katsushika Hokusai,,,,,,,
One Hundred Years of Solitude,Gabriel García Márquez,,,,,,,
Ongoingness,Sarah Manguso,,,,,,,
Oranges,John McPhee,,,,,,,
Oriental Mythology,Joseph Campbell,,,,,,,
Orlando,Virginia Woolf,,,,,,,
Othello,William Shakespeare,,,,,,,
Outwitting the Devil,Napoleon Hill,,,,,,,
Own the Day,Aubrey Marcus,,,,,,,
"Own the Day, Own Your Life",Aubrey Marcus,,,,,,,
Pale Fire,Vladimir Nabokov,,,,,,,
Palm-of-the-Hand Stories,Yasunari Kawabata,,,,,,,
Pan,Knut Hamsun,,,,,,,
"Papa, Please Get the Moon for Me",Eric Carle,,,,,,,
Paradise Lost,John Milton,,,,,,,
Paradiso,Dante Alighieri,,,,,,,
Parnassus on Wheels,Christopher Morley,,,,,,,
Part of Our Time,Murray Kempton,,,,,,,
Parting the Waters,Taylor Branch,,,,,,,
Passing the Time in Ballymenone,Henry Glassie,,,,,,,
Past Master,R. A. Lafferty,,,,,,,
Pattern Recognition,William Gibson,,,,,,,
Pax Britannica,Jan Morris,,,,,,,
Peace Is Every Step,Thich Nhat Hanh,,,,,,,
Pensées,Blaise Pascal,,,,,,,
Père Goriot,Honoré de Balzac,,,,,,,
Period Piece,Gwen Raverat,,,,,,,
Personal History,Katharine Graham,,,,,,,
Personal Memoirs of U. S. Grant,Ulysses S. Grant,,,,,,,
Persuasion,Jane Austen,,,,,,,
Peter and Wendy,J. M. Barrie,,,,,,,
Petersburg,Andrei Bely,,,,,,,
Photo Basics,Joel Sartore,,,,,,,
Pigs Have Wings,P. G. Wodehouse,,,,,,,
Pilgrim at Tinker Creek,Annie Dillard,,,,,,,
Pillar of Fire,Taylor Branch,,,,,,,
Plagues and Peoples,William H. McNeill,,,,,,,
Plutarch’s Lives,Plutarch,,,,,,,
Poems,Emily Dickinson,,,,,,,
Poems,Sappho,,,,,,,
Poems and Sermons,John Donne U.S.A.,,,,,,,
Poetry and Tales,Edgar Allan Poe,,,,,,,
Polar Star,Martin Cruz Smith,,,,,,,
Police Negotiator’s Handbook,Ronald J. York,,,,,,,
Poor Charlie's Almanack,Charles T. Munger,,,,,,,
Portrait of a Marriage,Nigel Nicolson,,,,,,,
Possession,A. S. Byatt,,,,,,,
Post American World,Fareed Zakaria,,,,,,,
Practicing Mindfulness,Mark W. Muesse,,,,,,,
Praise of Folly,Desiderius Erasmus,,,,,,,
Presumed Innocent,Scott Turow,,,,,,,
Pride and Prejudice,Jane Austen,,,,,,,
Primitive Mythology,Joseph Campbell,,,,,,,
Principia Ethica (Philosophical Classics),G.E. Moore,,,,,,,
Principles,Ray Dalio,,,,,,,
Principles: Life and Work,Ray Dalio,,,,,,,
"Prisoner Without a Name, Cell Without a Number",Jacobo Timerman,,,,,,,
Products of the Perfected Civilization,Sébastien-Roch Nicolas Chamfort,,,,,,,
Psycho-Cybernetics,Maxwell Maltz,,,,,,,
Purgatorio,Dante Alighieri,,,,,,,
Pygmalion,George Bernard Shaw,,,,,,,
QED,Richard P. Feynman,,,,,,,
Quicksilver,Neal Stephenson,,,,,,,
Ragtime,E. L. Doctorow,,,,,,,
Range,David Epstein,,,,,,,
Re-Awaken the Giant Within,Anthony Robbins,,,,,,,
Re: Colonised Planet 5,Shikasta,,,,,,,
Reading Lolita in Tehran,Azar Nafisi,,,,,,,
Rebecca,Daphne du Maurier,,,,,,,
Rebellion in the Backlands,Euclides da Cunha,,,,,,,
Reflections on the Revolution in France,Edmund Burke,,,,,,,
Regeneration,Pat Barker,,,,,,,
Rejection Proof,Jia Jiang,,,,,,,
Rejoice & Tremble,Michael Reeves,,,,,,,
Religion and the Decline of Magic,Keith Thomas,,,,,,,
Remote: Office Not Required,David Heinemeier Hansson,,,,,,,
Rework,Jason Fried,,,,,,,
Rich Dad’s Guide to Becoming Rich Without Cutting Up Your Credit Cards,Robert T. Kiyosaki,,,,,,,
Richard II,William Shakespeare,,,,,,,
Ring of Bright Water,Gavin Maxwell,,,,,,,
Ringworld,Larry Niven,,,,,,,
River of Shadows,Rebecca Solnit,,,,,,,
Robert’s Rules of Order,Henry M. Robert III,,,,,,,
Robinson Crusoe,Daniel Defoe,,,,,,,
Rogue Male,Geoffrey Household,,,,,,,
Rome and a Villa,Eleanor Clark,,,,,,,
Romeo and Juliet,William Shakespeare,,,,,,,
Rosemary’s Baby,Ira Levin,,,,,,,
Sailing Alone Around the Room,Billy Collins,,,,,,,
Sailing Alone Around the World,Joshua Slocum,,,,,,,
Saint-Exupéry,Stacy Schiff,,,,,,,
Salt Sugar Fat,Michael Moss,,,,,,,
Sam Walton: Made In America,Sam Walton,,,,,,,
Samuel Johnson,W. Jackson Bate,,,,,,,
Save the Cat! Writes a Novel,Jessica Brody,,,,,,,
Second Foundation,Isaac Asimov,,,,,,,
Secrets of Power Negotiating,Roger Dawson,,,,,,,
Secrets of Screen Acting,Patrick Tucker,,,,,,,
Seducing Strangers,Josh Weltman,,,,,,,
Selected Poetry,Rainer Maria Rilke,,,,,,,
"Selected Stories, 1968–1994",Alice Munro,,,,,,,
Sense and Sensibility,Jane Austen,,,,,,,
Sentimental Education,Gustave Flaubert,,,,,,,
Seth Speaks,Jane Roberts,,,,,,,
Seven Pillars of Wisdom,T. E. Lawrence,,,,,,,
Siddhartha,Hermann Hesse,,,,,,,
Silence,Shūsaku Endō,,,,,,,
Silent Spring,Rachel Carson,,,,,,,
Simone Weil,Simone Weil,,,,,,,
Simple Sabotage Field Manual,CIA,,,,,,,
Sister Carrie,Theodore Dreiser,,,,,,,
Six Months Off,Hope Dlugozima,,,,,,,
Skellig,David Almond,,,,,,,
Slaughterhouse-Five,Kurt Vonnegut Jr.,,,,,,,
Slaves in the Family,Edward Ball,,,,,,,
Sleepless Nights,Elizabeth Hardwick,,,,,,,
Slightly Out of Focus,Robert Capa,,,,,,,
Small Giants,Bo Burlingham,,,,,,,
Small Talk at Wreyland,Cecil Torr,,,,,,,
Smarter. Faster. Cheaper,David Siteman Garland,,,,,,,
Snow Country,Yasunari Kawabata,,,,,,,
So Good They Can't Ignore You,Cal Newport,,,,,,,
Sodom and Gomorrah,Marcel Proust,,,,,,,
Something Happened,Joseph Heller,,,,,,,
Sometimes a Great Notion,Ken Kesey,,,,,,,
Son of the Morning Star,Evan S. Connell,,,,,,,
Songs of Innocence and of Experience,William Blake,,,,,,,
Sons and Lovers,D. H. Lawrence,,,,,,,
Sophie’s Choice,William Styron,,,,,,,
"Sorry I'm Late, I Didn't Want to Come",Jessica Pan,,,,,,,
Sparkle and Spin,Ann Rand and Paul Rand,,,,,,,
Spartina,John Casey,,,,,,,
"Speak, Memory",Vladimir Nabokov,,,,,,,
Steppenwolf,Hermann Hesse,,,,,,,
Still With It!,Peter Buckman,,,,,,,
Stoner,John Williams,,,,,,,
Stories,Anton Chekhov,,,,,,,
Stories of a Parish Pastor,Richard Daives,,,,,,,
Storm of Steel,Ernst Jünger,,,,,,,
Stormbringer,Michael Moorcock,,,,,,,
Stranger in a Strange Land,Robert A. Heinlein,,,,,,,
Strategy Beyond the Hockey Stick,Chris Bradley,,,,,,,
Stravinsky,Robert Craft,,,,,,,
StrengthsQuest,Donald O. Clifton,,,,,,,
String Too Short to Be Saved,Donald Hall,,,,,,,
Study Is Hard Work,William H. Armstrong,,,,,,,
Suttree,Cormac McCarthy,,,,,,,
Swallowing Clouds,A. Zee,,,,,,,
Swallows and Amazons,Arthur Ransome,,,,,,,
Swann's Way,Marcel Proust,,,,,,,
Swann’s Way,Marcel Proust,,,,,,,
Tales and Sketches,Nathaniel Hawthorne,,,,,,,
Tales of the City,Armistead Maupin,,,,,,,
Talk Like TED,Carmine Gallo,,,,,,,
Talking Like the Rain,X. J. Kennedy,,,,,,,
Talleyrand,Duff Cooper,,,,,,,
Tao Te Ching,,,,,,,,
Tarka the Otter,Henry Williamson,,,,,,,
Tarkin,James Luceno,,,,,,,
Tell Me a Riddle,Tillie Olsen,,,,,,,
Ten Drugs,Thomas Hager,,,,,,,
Ten Years in the Tub,Nick Hornby,,,,,,,
Tender at the Bone,Ruth Reichl,,,,,,,
Tender Is the Night,Scott Fitzgerald,,,,,,,
The 10 Pillars of Wealth,Alex Becker,,,,,,,
The 22 Immutable Laws of Marketing,Al Ries,,,,,,,
The 33 Strategies of War,Robert Greene,,,,,,,
The 42nd Parallel,John Dos Passos,,,,,,,
The 5 Love Languages,Gary Chapman,,,,,,,
The 7 Habits of Highly Effective People,Stephen R. Covey,,,,,,,
The 80/20 Principle: The Secret to Achieving More with Less,Richard Koch,,,,,,,
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,,,,,,,
The Adventures of Augie March,Saul Bellow,,,,,,,
The Adventures of Huckleberry Finn,Mark Twain,,,,,,,
The Adventures of Ibn Battuta,Ross E. Dunn,,,,,,,
The Aeneid,Virgil,,,,,,,
The Age of Innocence,Edith Wharton,,,,,,,
The Aleph and Other Stories,Jorge Luis Borges,,,,,,,
The All of It,Jeannette Haien,,,,,,,
The Amazing Adventures of Kavalier & Clay,Michael Chabon,,,,,,,
The Amazon Management System,Ram Charan,,,,,,,
The Anatomy of Melancholy,Robert Burton,,,,,,,
The Andromeda Strain,Michael Crichton,,,,,,,
The Annals,Tacitus,,,,,,,
The Answer Is…,Alex Trebek,,,,,,,
The Arabian Nights,,,,,,,,
The Armies of the Night,Norman Mailer,,,,,,,
The Art of Eating,M. F. K. Fisher,,,,,,,
The Art of Mental Training,D. C. Gonzalez,,,,,,,
The Art of Non-Conformity,Chris Guillebeau,,,,,,,
The Art of Seduction,Robert Greene,,,,,,,
The Art of Storytelling,Hannah B. Harvey,,,,,,,
The Art of the Personal Essay,Phillip Lopate,,,,,,,
The Art of War,Antoine-Henri Jomini,,,,,,,
The Art of War,Machiavelli,,,,,,,
The Art of War for Managers,Gerald A. Michaelson,,,,,,,
The Ascent of Rum Doodle,W. E. Bowman,,,,,,,
The Aspern Papers,Henry James,,,,,,,
The Auberge of the Flowering Hearth,Roy Andries de Groot,,,,,,,
The Autobiography of Alice B. Toklas,Gertrude Stein,,,,,,,
The Autobiography of Benjamin Franklin,Benjamin Franklin,,,,,,,
The Autobiography of Benvenuto Cellini,Benvenuto Cellini,,,,,,,
The Autobiography of Malcolm X,Malcolm X,,,,,,,
The Autumn of the Middle Ages,Johan Huizinga,,,,,,,
The Awakening,Kate Chopin,,,,,,,
The Baburnama,Zahiruddin Muhammad Babur,,,,,,,
The Bacchae,Euripides,,,,,,,
The Beast in the Nursery,Adam Phillips,,,,,,,
The Bell Curve,Richard J. Herrnstein,,,,,,,
The Berlin Stories,Christopher Isherwood,,,,,,,
The Best and the Brightest,David Halberstam,,,,,,,
The Bezos Letters,Steve Anderson,,,,,,,
The Bible,,,,,,,,
The Big Money,John Dos Passos,,,,,,,
The Big Sleep,Raymond Chandler,,,,,,,
The Birth of Tragedy,Friedrich Nietzsche,,,,,,,
The Birthday Boys,Beryl Bainbridge,,,,,,,
The Black Swan,Nassim Nicholas Taleb,,,,,,,
The Bogey Man,George Plimpton,,,,,,,
The Bonfire of the Vanities,Tom Wolfe,,,,,,,
The Book of Common Prayer,,,,,,,,
The Book of Disquiet,Fernando Pessoa,,,,,,,
The Book of Ebenezer Le Page,G. B. Edwards,,,,,,,
The Book of Feats of Arms and of Chivalry,Christine de Pizan,,,,,,,
The Book of Five Rings,Miyamoto Musashi,,,,,,,
The Book of Job,,,,,,,,
The Book of Laughter and Forgetting,Milan Kundera,,,,,,,
The Book of Pook,Pook,,,,,,,
The Book of Swindles,Zhang Yingyu,,,,,,,
The Book of Tea,Kakuzo Okakura,,,,,,,
The Book of the City of Ladies,Christine de Pizan,,,,,,,
The Book of the Courtier,Baldassare Castiglione,,,,,,,
The Book of Three,Lloyd Alexander,,,,,,,
The Book on Rental Property Investing,Brandon Turner,,,,,,,
The Bourne Identity,Robert Ludlum,,,,,,,
The Boxcar Children,Gertrude Chandler Warner,,,,,,,
The Boys of Summer,Roger Kahn,,,,,,,
The Bridge of San Luis Rey,Thornton Wilder,,,,,,,
The Brief Wondrous Life of Oscar Wao,Junot Diaz,,,,,,,
The Brothers Karamozov,Fyodor Dostoyevsky,,,,,,,
The Call of Cthulhu,H.P. Lovecraft,,,,,,,
The Call of the Wild,Jack London,,,,,,,
The Cannabis Dictionary,Alex Halperin,,,,,,,
The Canterbury Tales,Geoffrey Chaucer,,,,,,,
The Captive,Marcel Proust,,,,,,,
The Case of Charles Dexter Ward,H. P. Lovecraft,,,,,,,
The Castle,Franz Kafka,,,,,,,
The Challenger Sale,Matthew Dixon,,,,,,,
The Chaneysville Incident,David Bradley,,,,,,,
The Charisma Myth,Olivia Fox Cabane,,,,,,,
The Chemical History of a Candle,Michael Faraday,,,,,,,
The Cherry Orchard,Anton Chekhov,,,,,,,
The Children of Húrin,J.R.R. Tolkien,,,,,,,
The Civil War,Shelby Foote,,,,,,,
The Civilization of the Renaissance in Italy,Jacob Burckhardt,,,,,,,
The Clouds,Aristophanes,,,,,,,
The Collected Ghost Stories of M. R. James,M. R. James,,,,,,,
The Collected Stories,Isaac Bashevis Singer,,,,,,,
The Collected Stories,William Trevor,,,,,,,
The Collected Stories of Eudora Welty,Eudora Welty,,,,,,,
The Collected Stories of Katherine Anne Porter,Katherine Anne Porter,,,,,,,
The Color Purple,Alice Walker,,,,,,,
The Coming Jobs War,Jim Clifton,,,,,,,
The Coming of Age,Simone De Beauvoir,,,,,,,
The Common Reader,Virginia Woolf,,,,,,,
The Compleat Angler,Izaak Walton,,,,,,,
The Complete Maus,Art Spiegelman,,,,,,,
The Complete Memoirs of George Sherston,Siegfried Sassoon,,,,,,,
The Complete Persepolis,Marjane Satrapi,,,,,,,
"The Complete Poems, 1927–1979",Elizabeth Bishop,,,,,,,
The Complete Sherlock Holmes,Sir Arthur Conan Doyle,,,,,,,
The Complete Stories,Flannery O'Connor,,,,,,,
The Complete Stories,Franz Kafka,,,,,,,
The Complete War Memoirs of Charles de Gaulle,Charles de Gaulle,,,,,,,
The Concept of Law,H.L.A. Hart,,,,,,,
The Confessions,Jean-Jacques Rousseau,,,,,,,
The Confidence Gap,Russ Harris,,,,,,,
The Conspiracy Against the Human Race,Thomas Ligotti,,,,,,,
The Corrections,Jonathan Franzen,,,,,,,
The Cosmic Code,Heinz R. Pagels,,,,,,,
The Count of Monte Cristo,Alexandre Dumas,,,,,,,
The Crying of Lot 49,Thomas Pynchon,,,,,,,
The Culture of Critique,Kevin B. MacDonald,,,,,,,
The Cyberiad,Stanislaw Lem,,,,,,,
The Da Vinci Code,Dan Brown,,,,,,,
The Daughter of Time,Josephine Tey,,,,,,,
The Day of the Jackal,Frederick Forsyth,,,,,,,
The Day of the Triffids,John Wyndham,,,,,,,
The Dead of the House,Hannah Green,,,,,,,
The Death and Life of Great American Cities,Jane Jacobs,,,,,,,
The Death of Ivan Ilyich,Leo Tolstoy,,,,,,,
The Death of the Heart,Elizabeth Bowen,,,,,,,
The Decameron,Giovanni Boccaccio      ,,,,,,,
The Decline and Fall of Practically Everybody,Will Cuppy,,,,,,,
The Decline of the West,Oswald Spengler,,,,,,,
The Deer and the Cauldron,Jin Yong,,,,,,,
